time,crime_count,category,source
2018-01-01,962,Theft FROM Vehicle,Actual
2018-02-01,645,Theft FROM Vehicle,Actual
2018-03-01,818,Theft FROM Vehicle,Actual
2018-04-01,870,Theft FROM Vehicle,Actual
2018-05-01,1063,Theft FROM Vehicle,Actual
2018-06-01,1036,Theft FROM Vehicle,Actual
2018-07-01,1321,Theft FROM Vehicle,Actual
2018-08-01,1400,Theft FROM Vehicle,Actual
2018-09-01,1292,Theft FROM Vehicle,Actual
2018-10-01,1269,Theft FROM Vehicle,Actual
2018-11-01,1028,Theft FROM Vehicle,Actual
2018-12-01,955,Theft FROM Vehicle,Actual
2019-01-01,1101,Theft FROM Vehicle,Actual
2019-02-01,714,Theft FROM Vehicle,Actual
2019-03-01,919,Theft FROM Vehicle,Actual
2019-04-01,1097,Theft FROM Vehicle,Actual
2019-05-01,1268,Theft FROM Vehicle,Actual
2019-06-01,1344,Theft FROM Vehicle,Actual
2019-07-01,1523,Theft FROM Vehicle,Actual
2019-08-01,1619,Theft FROM Vehicle,Actual
2019-09-01,1512,Theft FROM Vehicle,Actual
2019-10-01,1313,Theft FROM Vehicle,Actual
2019-11-01,1253,Theft FROM Vehicle,Actual
2019-12-01,1107,Theft FROM Vehicle,Actual
2020-01-01,1173,Theft FROM Vehicle,Actual
2020-02-01,1210,Theft FROM Vehicle,Actual
2020-03-01,1082,Theft FROM Vehicle,Actual
2020-04-01,1068,Theft FROM Vehicle,Actual
2020-05-01,796,Theft FROM Vehicle,Actual
2020-06-01,824,Theft FROM Vehicle,Actual
2020-07-01,1078,Theft FROM Vehicle,Actual
2020-08-01,1189,Theft FROM Vehicle,Actual
2020-09-01,1230,Theft FROM Vehicle,Actual
2020-10-01,1230,Theft FROM Vehicle,Actual
2020-11-01,889,Theft FROM Vehicle,Actual
2020-12-01,681,Theft FROM Vehicle,Actual
2021-01-01,822,Theft FROM Vehicle,Actual
2021-02-01,617,Theft FROM Vehicle,Actual
2021-03-01,852,Theft FROM Vehicle,Actual
2021-04-01,828,Theft FROM Vehicle,Actual
2021-05-01,847,Theft FROM Vehicle,Actual
2021-06-01,789,Theft FROM Vehicle,Actual
2021-07-01,908,Theft FROM Vehicle,Actual
2021-08-01,968,Theft FROM Vehicle,Actual
2021-09-01,918,Theft FROM Vehicle,Actual
2021-10-01,948,Theft FROM Vehicle,Actual
2021-11-01,945,Theft FROM Vehicle,Actual
2021-12-01,788,Theft FROM Vehicle,Actual
2022-01-01,1060,Theft FROM Vehicle,Actual
2022-02-01,902,Theft FROM Vehicle,Actual
2022-03-01,1199,Theft FROM Vehicle,Actual
2022-04-01,1074,Theft FROM Vehicle,Actual
2022-05-01,1153,Theft FROM Vehicle,Actual
2022-06-01,1219,Theft FROM Vehicle,Actual
2022-07-01,1094,Theft FROM Vehicle,Actual
2022-08-01,1143,Theft FROM Vehicle,Actual
2022-09-01,979,Theft FROM Vehicle,Actual
2022-10-01,947,Theft FROM Vehicle,Actual
2022-11-01,846,Theft FROM Vehicle,Actual
2022-12-01,817,Theft FROM Vehicle,Actual
2023-01-01,880,Theft FROM Vehicle,Actual
2023-02-01,764,Theft FROM Vehicle,Actual
2023-03-01,873,Theft FROM Vehicle,Actual
2023-04-01,818,Theft FROM Vehicle,Actual
2023-05-01,886,Theft FROM Vehicle,Actual
2023-06-01,914,Theft FROM Vehicle,Actual
2023-07-01,856,Theft FROM Vehicle,Actual
2023-08-01,751,Theft FROM Vehicle,Actual
2023-09-01,710,Theft FROM Vehicle,Actual
2023-10-01,611,Theft FROM Vehicle,Actual
2023-11-01,619,Theft FROM Vehicle,Actual
2023-12-01,563,Theft FROM Vehicle,Actual
2024-01-01,448,Theft FROM Vehicle,Actual
2024-02-01,452,Theft FROM Vehicle,Actual
2024-03-01,423,Theft FROM Vehicle,Actual
2024-04-01,543,Theft FROM Vehicle,Actual
2024-05-01,563,Theft FROM Vehicle,Actual
2024-06-01,572,Theft FROM Vehicle,Actual
2024-07-01,563,Theft FROM Vehicle,Actual
2024-08-01,506,Theft FROM Vehicle,Actual
2024-09-01,502,Theft FROM Vehicle,Actual
2024-10-01,120,Theft FROM Vehicle,Actual
2018-01-01,600,Theft OF Vehicle,Actual
2018-02-01,553,Theft OF Vehicle,Actual
2018-03-01,504,Theft OF Vehicle,Actual
2018-04-01,515,Theft OF Vehicle,Actual
2018-05-01,458,Theft OF Vehicle,Actual
2018-06-01,421,Theft OF Vehicle,Actual
2018-07-01,594,Theft OF Vehicle,Actual
2018-08-01,508,Theft OF Vehicle,Actual
2018-09-01,492,Theft OF Vehicle,Actual
2018-10-01,482,Theft OF Vehicle,Actual
2018-11-01,457,Theft OF Vehicle,Actual
2018-12-01,500,Theft OF Vehicle,Actual
2019-01-01,461,Theft OF Vehicle,Actual
2019-02-01,467,Theft OF Vehicle,Actual
2019-03-01,437,Theft OF Vehicle,Actual
2019-04-01,441,Theft OF Vehicle,Actual
2019-05-01,487,Theft OF Vehicle,Actual
2019-06-01,471,Theft OF Vehicle,Actual
2019-07-01,630,Theft OF Vehicle,Actual
2019-08-01,567,Theft OF Vehicle,Actual
2019-09-01,651,Theft OF Vehicle,Actual
2019-10-01,515,Theft OF Vehicle,Actual
2019-11-01,511,Theft OF Vehicle,Actual
2019-12-01,444,Theft OF Vehicle,Actual
2020-01-01,512,Theft OF Vehicle,Actual
2020-02-01,451,Theft OF Vehicle,Actual
2020-03-01,469,Theft OF Vehicle,Actual
2020-04-01,428,Theft OF Vehicle,Actual
2020-05-01,260,Theft OF Vehicle,Actual
2020-06-01,297,Theft OF Vehicle,Actual
2020-07-01,362,Theft OF Vehicle,Actual
2020-08-01,389,Theft OF Vehicle,Actual
2020-09-01,415,Theft OF Vehicle,Actual
2020-10-01,418,Theft OF Vehicle,Actual
2020-11-01,357,Theft OF Vehicle,Actual
2020-12-01,361,Theft OF Vehicle,Actual
2021-01-01,442,Theft OF Vehicle,Actual
2021-02-01,382,Theft OF Vehicle,Actual
2021-03-01,326,Theft OF Vehicle,Actual
2021-04-01,355,Theft OF Vehicle,Actual
2021-05-01,318,Theft OF Vehicle,Actual
2021-06-01,326,Theft OF Vehicle,Actual
2021-07-01,401,Theft OF Vehicle,Actual
2021-08-01,377,Theft OF Vehicle,Actual
2021-09-01,377,Theft OF Vehicle,Actual
2021-10-01,355,Theft OF Vehicle,Actual
2021-11-01,391,Theft OF Vehicle,Actual
2021-12-01,462,Theft OF Vehicle,Actual
2022-01-01,483,Theft OF Vehicle,Actual
2022-02-01,462,Theft OF Vehicle,Actual
2022-03-01,552,Theft OF Vehicle,Actual
2022-04-01,440,Theft OF Vehicle,Actual
2022-05-01,469,Theft OF Vehicle,Actual
2022-06-01,454,Theft OF Vehicle,Actual
2022-07-01,450,Theft OF Vehicle,Actual
2022-08-01,546,Theft OF Vehicle,Actual
2022-09-01,362,Theft OF Vehicle,Actual
2022-10-01,443,Theft OF Vehicle,Actual
2022-11-01,403,Theft OF Vehicle,Actual
2022-12-01,460,Theft OF Vehicle,Actual
2023-01-01,430,Theft OF Vehicle,Actual
2023-02-01,350,Theft OF Vehicle,Actual
2023-03-01,445,Theft OF Vehicle,Actual
2023-04-01,328,Theft OF Vehicle,Actual
2023-05-01,373,Theft OF Vehicle,Actual
2023-06-01,382,Theft OF Vehicle,Actual
2023-07-01,386,Theft OF Vehicle,Actual
2023-08-01,364,Theft OF Vehicle,Actual
2023-09-01,402,Theft OF Vehicle,Actual
2023-10-01,357,Theft OF Vehicle,Actual
2023-11-01,343,Theft OF Vehicle,Actual
2023-12-01,375,Theft OF Vehicle,Actual
2024-01-01,376,Theft OF Vehicle,Actual
2024-02-01,324,Theft OF Vehicle,Actual
2024-03-01,340,Theft OF Vehicle,Actual
2024-04-01,337,Theft OF Vehicle,Actual
2024-05-01,305,Theft OF Vehicle,Actual
2024-06-01,320,Theft OF Vehicle,Actual
2024-07-01,381,Theft OF Vehicle,Actual
2024-08-01,332,Theft OF Vehicle,Actual
2024-09-01,327,Theft OF Vehicle,Actual
2024-10-01,146,Theft OF Vehicle,Actual
2018-01-01,1105.2070447557926,Theft FROM Vehicle,Fitted
2019-01-01,1044.7246768835535,Theft FROM Vehicle,Fitted
2020-01-01,984.2423090113144,Theft FROM Vehicle,Fitted
2021-01-01,923.7599411390754,Theft FROM Vehicle,Fitted
2022-01-01,863.2775732668365,Theft FROM Vehicle,Fitted
2023-01-01,802.7952053945972,Theft FROM Vehicle,Fitted
2024-01-01,742.3128375223582,Theft FROM Vehicle,Fitted
2025-01-01,681.8304696501193,Theft FROM Vehicle,Fitted
2018-02-01,938.5812185551072,Theft FROM Vehicle,Fitted
2019-02-01,878.0988506828681,Theft FROM Vehicle,Fitted
2020-02-01,817.6164828106291,Theft FROM Vehicle,Fitted
2021-02-01,757.1341149383901,Theft FROM Vehicle,Fitted
